year,home_team,away_team,match_result,draws_last_4y_difference,fifa_points_pre_tournament_difference,fifa_rank_pre_tournament_difference,finalist_difference,finals_before_difference,goals_received_last_4y_difference,goals_scored_last_4y_difference,groups_passed_before_difference,is_host_difference,losses_last_4y_difference,quarter_finalist_difference,quarterfinals_before_difference,round16_before_difference,semi_finalist_difference,semifinals_before_difference,squad_avg_age_difference,squad_total_market_value_eur_difference,winner_difference,wins_last_4y_difference,world_cup_participations_before_difference,world_cup_titles_before_difference,fifa_points_pre_tournament_ratio,goals_scored_last_4y_ratio,goals_received_last_4y_ratio,wins_last_4y_ratio,squad_avg_age_ratio,host_difference
2022,Argentina,France,Draw,1,14.100000000000136,-1,0,2,-13,-3,5,0,-2,0,1,2,0,-1,1.3000000000000007,-384800000.0,1,2,2,0,1.0080123651820114,0.9702970297029703,0.675,1.064516129032258,1.049056603773585,0
2022,Croatia,Morocco,Home Win,-1,82.1400000000001,-10,0,1,34,-7,1,0,8,0,2,1,0,2,1.1999999999999993,135900000.0,0,-8,0,0,1.0525359769747362,0.9213483146067416,2.1333333333333333,0.75,1.0458015267175573,0
2022,France,Morocco,Home Win,0,196.27999999999997,-18,1,3,10,12,8,0,0,0,8,6,0,6,0.3000000000000007,788900000.0,0,-1,10,2,1.125538855132715,1.1348314606741574,1.3333333333333333,0.96875,1.0114503816793894,0
2022,Argentina,Croatia,Home Win,2,128.24,-9,1,4,-37,16,12,0,-10,0,7,7,0,3,0.40000000000000213,268200000.0,1,9,12,2,1.0779271286551129,1.1951219512195121,0.421875,1.375,1.0145985401459854,0
2022,Morocco,Portugal,Home Win,0,-113.05999999999995,13,0,0,-4,-19,-3,0,-1,0,-2,-2,1,-2,-0.6000000000000014,-695900000.0,0,2,-2,0,0.932564298325142,0.8240740740740741,0.8823529411764706,1.0666666666666667,0.9776119402985074,0
2022,England,France,Away Win,-2,-31.309999999999945,1,-1,-2,-6,21,3,0,2,0,1,0,-1,-3,-0.10000000000000142,230000000.0,0,2,0,-1,0.9822080032731364,1.2079207920792079,0.85,1.064516129032258,0.9962264150943396,0
2022,Croatia,Brazil,Draw,1,-195.65999999999985,11,0,-5,45,-29,-17,0,11,0,-13,-9,1,-8,-0.5,-763000000.0,0,-13,-16,-5,0.8937381198066584,0.7387387387387387,3.3684210526315788,0.6486486486486487,0.982078853046595,0
2022,Netherlands,Argentina,Draw,-2,-79.37000000000012,5,-1,-2,17,13,-6,0,3,0,-4,-3,-1,0,-1.1999999999999993,-57950000.0,-1,-3,-7,-2,0.9552562743815816,1.1326530612244898,1.6296296296296295,0.9090909090909091,0.9568345323741008,0
2022,Morocco,Spain,Draw,-2,-151.72000000000003,15,0,-1,-8,-26,-9,0,0,1,-5,-7,1,-1,0.8999999999999986,-635900000.0,0,1,-10,-1,0.9115448747099497,0.7739130434782608,0.7894736842105263,1.032258064516129,1.0355731225296443,0
2022,Portugal,Switzerland,Home Win,-1,40.63999999999987,-6,0,0,-23,18,-3,0,-8,1,-1,-3,0,2,-0.1999999999999993,656000000.0,0,8,-4,0,1.0248422905765562,1.2,0.5964912280701754,1.3636363636363635,0.9925925925925926,0
2022,Japan,Croatia,Draw,-3,-86.10000000000014,12,0,-1,-24,45,1,0,-3,-1,-2,1,-1,-2,0.40000000000000213,-223000000.0,0,15,1,0,0.94767992999684,1.548780487804878,0.625,1.625,1.0145985401459854,0
2022,Brazil,Korea Republic,Home Win,-2,311.0,-27,0,6,-19,16,17,0,-4,1,14,9,0,9,0.09999999999999787,975520000.0,0,3,11,5,1.2032281252042083,1.168421052631579,0.5,1.088235294117647,1.0035971223021583,0
2022,France,Poland,Home Win,0,211.19000000000005,-22,1,3,-13,18,4,0,-8,1,6,5,1,4,-0.5,774400000.0,0,9,7,2,1.136375670771476,1.216867469879518,0.7547169811320755,1.4090909090909092,0.9814814814814815,0
2022,England,Senegal,Home Win,-3,143.8800000000001,-13,0,1,1,40,11,0,2,1,8,6,0,3,0.29999999999999716,1032000000.0,0,0,13,1,1.0907995128077295,1.4878048780487805,1.0303030303030303,1.0,1.011494252873563,0
2022,Netherlands,USA,Home Win,0,67.02999999999997,-8,0,3,-3,-8,3,0,-7,1,3,2,0,4,1.4000000000000021,309850000.0,0,-7,0,0,1.0411863740261016,0.9327731092436975,0.9361702127659575,0.8108108108108109,1.0555555555555556,0
2022,Argentina,Australia,Home Win,7,285.1600000000001,-35,1,5,8,29,13,0,-2,1,9,8,1,5,0.3000000000000007,606800000.0,1,12,12,2,1.1915471008651728,1.4202898550724639,1.4210526315789473,1.5714285714285714,1.010909090909091,0
2022,Korea Republic,Portugal,Home Win,0,-146.26,19,0,0,4,-13,-2,0,0,-1,-1,-1,0,-1,1.0,-772520000.0,0,4,3,0,0.9127618456840196,0.8796296296296297,1.1176470588235294,1.1333333333333333,1.037313432835821,0
2022,Ghana,Uruguay,Away Win,0,-245.71000000000004,47,0,-1,-9,-19,-8,0,-2,0,-5,-3,0,-4,-3.1000000000000014,-232800000.0,0,-4,-10,-2,0.8500588877836834,0.6984126984126984,0.7857142857142857,0.8,0.8884892086330934,0
